,시도교육청,폐교명,폐교연도,지역교육청,급별,활용현황,주소
90,강원,삼생초 서광분교장,1994,홍천,초,대부,강원도 홍천군 서석면 생곡리 167-2
91,강원,삼포초 당무분교장,1997,홍천,초,미활용,강원도 홍천군 화촌면 군업리 1128
92,강원,상승초 노동분교장,2019,화천,초,미활용,강원도 화천군 상서면 노동리 504-2
93,강원,상창초 신흥분교장,1995,횡성,초,미활용,강원도 횡성군 공근면 어둔리 171-1
94,강원,상창초등학교,2009,횡성,초,대부,강원도 횡성군 공근면 부창리 208-5
95,강원,상천초 물로분교장,1994,춘천,초,대부,강원도 춘천시 북산면 물로리 604-2
96,강원,상천초 조교분교장,1994,춘천,초,대부,강원도 춘천시 북산면 조교리 295-1
97,강원,서상초 삼선분교장,1995,춘천,초,대부,강원도 춘천시 서면 서상리 801-2
98,강원,서석초 가구분교장,1995,홍천,초,대부,강원도 홍천군 서석면 수하리 1290-1
99,강원,서석초 송촌분교장,1994,홍천,초,대부,강원도 홍천군 서석면 어론리 564-5
100,강원,서석초 항곡분교장,2016,홍천,초,대부,강원도 홍천군 서석면 수하리 398-3
101,강원,서원초 옥인분교장,1994,횡성,초,대부,강원도 횡성군 서원면 옥계리 488
102,강원,성덕초 병산분교장,2004,강릉,초,자체활용,강원도 강릉시 병산동 445-5
103,강원,성산초 보광분교장,1998,강릉,초,대부,강원도 강릉시 성산면 보광리 308
104,강원,소달중학교,2018,삼척,중,대부,강원도 삼척시 도계읍  고사리 197-7
105,강원,속사초 계방분교장,1998,평창,초,자체활용,강원도 평창군 용평면 노동리 320-10
106,강원,속초초 노천분교장,2017,홍천,초,자체활용,강원도 홍천군 동면 노천리 1441
107,강원,속초초 신봉분교장,1994,홍천,초,대부,강원도 홍천군 동면 신봉리 211-1
108,강원,속초초 월운분교장,2022,홍천,초,미활용,강원도 홍천군 영귀미면 월운리 334-4
109,강원,속초초 좌운분교장,2021,홍천,초,미활용,강원도 홍천군 동면 금계로 1534
110,강원,송화초 서원분교장,1995,춘천,초,자체활용,강원도 춘천시 신북읍 용산리 725-2
111,강원,수항초등학교,1997,평창,초,미활용,강원도 평창군 진부면 수항리 278-3
112,강원,신동초 마차분교장,2003,삼척,초,대부,강원도 삼척시 신기면  마치리 505-2
113,강원,신림초 구학분교장,1996,원주,초,대부,강원도 원주시 신림면 구학리 273
114,강원,신림초 성림분교장,1996,원주,초,자체활용,강원도 원주시 신림면 성남리 527
115,강원,신왕초 부연분교장,2007,강릉,초,미활용,강원도 강릉시 연곡면 삼산리 1279
116,강원,신천중학교,2022,영월,중,미활용,강원도 영월군 한반도면 신천리 615-2
117,강원,쌍룡초 토교분교장,2021,영월,초,미활용,강원도 영월군 남면 토교리 496-1
